vehicle_id		vehicle_type	lane	frame	timestamp
1			car	1	3	0.1
2			car	2	3	0.1
3			car	1	3	0.1
4			car	1	3	0.1
5			car	1	3	0.1
8			train	1	12	0.4
11			car	2	14	0.467
28			car	1	32	1.067
30			car	3	39	1.3
35			bus	1	45	1.5
36			bus	2	45	1.5
37			car	1	46	1.533
38			car	1	48	1.6
28			bus	2	61	2.033
42			truck	1	63	2.1
49			car	3	84	2.8
30			train	2	95	3.167
61			car	2	123	4.1
62			car	2	123	4.1
61			car	1	127	4.233
64			truck	1	132	4.4
71			car	1	141	4.7
74			train	1	145	4.833
74			car	2	147	4.9
77			train	2	157	5.233
79			car	1	162	5.4
82			train	2	176	5.867
79			car	2	178	5.933
86			car	1	186	6.2
87			car	1	187	6.233
89			car	1	193	6.433
91			car	1	200	6.667
93			car	2	205	6.833
94			car	1	207	6.9
98			train	2	221	7.367
102			car	1	229	7.633
94			car	2	230	7.667
86			train	2	239	7.967
105			train	1	240	8.0
109			bus	1	247	8.233
109			car	2	249	8.3
102			car	2	252	8.4
117			car	2	253	8.433
118			bus	1	255	8.5
119			bus	1	255	8.5
125			truck	1	264	8.8
127			train	1	269	8.967
130			bus	2	273	9.1
131			car	1	275	9.167
132			train	2	281	9.367
